Cell Line Name;Tissue;Tissue sub-type;IC50;Cell Line Name;Primary Disease;TP53 log2(TPM+1) Expression Public 22Q4;BRAF log2(TPM+1) Expression Public 22Q4;ATOX1 log2(TPM+1) Expression Public 22Q4;SLC31A1 log2(TPM+1) Expression Public 22Q4;ATP7A log2(TPM+1) Expression Public 22Q4;ATP7B log2(TPM+1) Expression Public 22Q4;Cell Line Name;disulfiram (BRD:BRD-K32744045-001-31-2) AUC Drug sensitivity AUC (PRISM Repurposing Secondary Screen)
NCI-H1651;lung;lung_NSCLC_adenocarcinoma;5.114514;TIG3TD;Non-Cancerous;5,37;2,74;7,55;4,38;2,81;0,94;UO31;0.7596376141267851
MEG-01;blood;chronic_myeloid_leukaemia;5.223940;CAL27;Head and Neck Squamous Cell Carcinoma;6,15;2,61;7,29;5,10;1,50;1,03;A704;0.878936358365712
G-401;kidney;kidney;5.269634;UO31;Renal Cell Carcinoma;6,29;3,04;7,89;3,88;1,35;1,82;CAKI1;0.7837126729649051
SW1783;nervous_system;glioma;5.394984;PACADD188;Pancreatic Adenocarcinoma;2,35;2,00;8,20;4,32;2,31;1,28;NCIH1915;0.655204890091167
NB14;nervous_system;neuroblastoma;5.444635;COGN305;Neuroblastoma;4,23;2,81;7,30;4,26;2,53;3,11;SW1088;0.76476975125705
NB10;nervous_system;neuroblastoma;5.468405;HCC2814;Non-Small Cell Lung Cancer;3,09;3,34;6,95;5,07;3,21;1,97;SH4;0.8022143311148091
DMS-273;lung;lung_small_cell_carcinoma;5.483166;MYLA;T-Lymphoblastic Leukemia/Lymphoma;6,12;3,18;6,39;2,75;0,64;1,52;LU99;0.767267239113693
NCI-H211;lung;lung_small_cell_carcinoma;5.642557;HT;Non-Hodgkin Lymphoma;6,91;3,85;6,49;3,67;2,02;0,99;KNS60;0.718283238955583
HSC-2;aero_digestive_tract;head_and_neck;5.648902;KNS62;Non-Small Cell Lung Cancer;5,09;1,96;5,96;3,68;1,00;0,89;NCIH2228;0.7321039402184829
A2780;urogenital_system;ovary;5.678826;WERIRB1;Retinoblastoma;5,77;3,43;6,60;4,82;1,64;1,52;MESSA;0.692205834171525
MM1S;blood;myeloma;5.678977;OE21;Esophageal Squamous Cell Carcinoma;1,91;1,36;6,84;3,47;0,86;0,30;MELHO;0.676842489327349
LOUCY;blood;lymphoblastic_T_cell_leukaemia;5.707355;HCC202;Breast Ductal Carcinoma In Situ;3,05;3,28;7,08;5,15;1,97;3,03;TE8;0.5752800801622379
NCI-H524;lung;lung_small_cell_carcinoma;5.768753;SW1710;Bladder Urothelial Carcinoma;5,39;3,05;7,36;4,79;2,24;1,14;HCC95;0.611727147306594
A253;aero_digestive_tract;head_and_neck;5.800715;LNZ308;Diffuse Glioma;5,04;2,66;6,67;4,69;2,87;0,34;BCPAP;0.538954707405964
DND-41;blood;T_cell_leukemia;5.806618;RHJT;Rhabdomyosarcoma;4,24;1,87;6,80;3,64;2,07;2,22;CAL54;0.799304824045638
KP-N-YN;nervous_system;neuroblastoma;5.812447;LXF289;Non-Small Cell Lung Cancer;6,44;3,46;7,64;5,18;2,42;1,69;CJM;0.7629957794984441
786-0;kidney;kidney;5.819794;DMS273;Lung Neuroendocrine Tumor;5,35;3,04;7,45;4,15;1,64;2,74;SNU1196;0.536285451060544
MES-SA;urogenital_system;uterus;5.820400;A431;Cutaneous Squamous Cell Carcinoma;4,17;1,91;7,06;4,19;1,45;0,48;NCIH460;0.73401583660685
NB69;nervous_system;neuroblastoma;5.830413;FEPD;Non-Hodgkin Lymphoma;5,72;2,51;6,61;2,03;0,94;2,06;PK45H;0.752653359333726
OPM-2;blood;myeloma;5.873281;NCIH69;Lung Neuroendocrine Tumor;3,14;4,10;6,90;4,77;1,44;1,57;YH13;0.8295666918053209
HO-1-N-1;aero_digestive_tract;head_and_neck;5.880732;SKGT4;Esophagogastric Adenocarcinoma;2,83;2,86;7,74;4,15;2,31;1,36;LI7;0.7100404028384921
SF539;nervous_system;glioma;5.935744;HKA1;Cutaneous Squamous Cell Carcinoma;2,67;2,65;7,08;5,54;2,27;1,93;HSC2;0.6958806097890611
GOTO;nervous_system;neuroblastoma;6.038891;SNU1079;Intraductal Papillary Neoplasm of the Bile Duct;5,62;2,69;6,73;3,26;1,65;2,07;RT112;0.665720165460739
SK-N-DZ;nervous_system;neuroblastoma;6.105072;HG3;B-Lymphoblastic Leukemia/Lymphoma;5,86;2,82;7,43;1,61;1,31;0,00;JHH4;0.710668267839526
IST-SL2;lung;lung_small_cell_carcinoma;6.110666;HUPT4;Pancreatic Adenocarcinoma;5,17;2,81;7,28;3,70;0,90;0,41;MALME3M;0.7790832875334559
HSC-3;aero_digestive_tract;head_and_neck;6.120367;NP5;Diffuse Glioma;6,97;3,22;7,45;4,70;3,13;2,41;KNS81;0.7089715599942958
ALL-SIL;blood;T_cell_leukemia;6.511610;UMUC14;Urethral Cancer;5,46;2,84;6,89;4,32;1,80;1,23;HUH7;0.770882081553044
NCI-H23;lung;lung_NSCLC_adenocarcinoma;6.608001;SNU81;Colorectal Adenocarcinoma;6,00;3,74;6,02;5,67;3,20;3,23;NCIH2170;0.797498647918024
TYK-nu;urogenital_system;ovary;6.633418;UMUC10;Bladder Urothelial Carcinoma;6,57;3,26;7,95;4,40;2,96;0,10;RERFLCKJ;0.71333470536291
CAL-51;breast;breast;6.662136;ISTMES2;Pleural Mesothelioma;5,23;3,16;7,58;4,56;1,48;1,83;VMRCRCW;0.755288813126213
SAS;aero_digestive_tract;head_and_neck;6.737563;UMUC13;Bladder Urothelial Carcinoma;5,25;4,48;8,45;4,65;1,20;1,23;KU1919;0.7218578720996299
TOV-112D;urogenital_system;ovary;6.791035;C32;Melanoma;4,99;4,00;10,50;5,67;2,11;2,14;TE11;0.68987390089899
ST486;blood;Burkitt_lymphoma;6.861716;DMS153;Lung Neuroendocrine Tumor;5,33;4,26;5,64;4,91;2,16;3,97;SNU423;0.7546810422404719
VA-ES-BJ;soft_tissue;soft_tissue_other;6.864057;KMRC1;Renal Cell Carcinoma;3,40;1,90;7,78;3,99;1,46;0,95;TUHR4TKB;0.7436214226374191
JiyoyeP-2003;blood;Burkitt_lymphoma;6.959060;DM3;Non-Cancerous;3,56;2,80;8,06;4,51;2,70;1,90;NCIH1792;0.725723593658994
NCI-H847;lung;lung_small_cell_carcinoma;6.999643;HCC1195;Non-Small Cell Lung Cancer;5,68;3,61;7,11;5,01;2,40;0,60;SNU46;0.852414401673242
42-MG-BA;nervous_system;glioma;7.008929;PECAPJ41CLONED2;Head and Neck Squamous Cell Carcinoma;2,83;2,12;6,23;3,34;0,59;0,20;TCCPAN2;0.728174640756019
IGROV-1;urogenital_system;ovary;7.110461;A704;Renal Cell Carcinoma;3,61;2,38;7,95;2,44;0,93;1,50;BICR16;0.651555532401
NCI-H1048;lung;lung_small_cell_carcinoma;7.140302;IMR32;Neuroblastoma;6,01;3,43;6,46;4,08;2,08;2,94;SNB75;0.6852492003789631
5637;urogenital_system;bladder;7.149709;HAP1;Myeloproliferative Neoplasms;6,05;2,67;7,68;4,88;2,67;2,46;RKN;0.7220658786044291
NCI-H1155;lung;lung_NSCLC_large_cell;7.213469;HDQP1;Invasive Breast Carcinoma;3,76;2,92;6,80;2,77;1,32;0,94;NCIH1299;0.748710326758447
NB13;nervous_system;neuroblastoma;7.364467;CAKI2;Renal Cell Carcinoma;5,28;2,75;6,35;4,37;2,52;2,03;CAL78;0.838041938342832
FTC-133;thyroid;thyroid;7.391786;FARAGE;Non-Hodgkin Lymphoma;6,26;2,59;7,66;3,79;1,48;0,07;NCIH2030;0.7836524522295519
HSC-39;digestive_system;stomach;7.408302;647V;Bladder Urothelial Carcinoma;5,73;3,03;7,80;4,03;1,48;1,66;KURAMOCHI;0.759420550721109
SK-N-SH;nervous_system;neuroblastoma;7.429212;NH6;Neuroblastoma;5,70;4,38;6,32;4,75;4,54;3,56;OVISE;0.714038314344946
ATN-1;blood;lymphoblastic_T_cell_leukaemia;7.469211;NOZ;Intracholecystic Papillary Neoplasm;2,94;3,20;8,89;4,07;1,93;0,64;ABC1;0.6936402227987839
LU-135;lung;lung_small_cell_carcinoma;7.481942;921;Ocular Melanoma;4,55;2,04;6,98;3,97;2,61;1,91;SNU61;0.731443983822052
RF-48;digestive_system;stomach;7.498186;SIGM5;Acute Myeloid Leukemia;5,72;2,44;6,95;3,65;0,63;1,12;SNU761;0.786797734751167
BHT-101;thyroid;thyroid;7.499482;NCIH2444;Non-Small Cell Lung Cancer;5,36;3,68;8,08;4,10;1,20;2,09;HEYA8;0.7026023696286771
HSC-4;aero_digestive_tract;head_and_neck;7.503447;SW1573;Non-Small Cell Lung Cancer;5,63;3,18;8,36;4,73;1,21;4,86;OE21;0.667837302096059
8-MG-BA;nervous_system;glioma;7.590805;D283MED;Embryonal Tumor;5,62;2,95;5,84;3,72;1,59;2,15;VMCUB1;0.7536672206819158
L-363;blood;myeloma;7.628127;GSU;Esophagogastric Adenocarcinoma;5,75;3,43;5,53;4,41;2,27;2,82;SNU1076;0.7887086259249879
SNU-16;digestive_system;stomach;7.651855;IALM;Non-Small Cell Lung Cancer;3,01;3,71;7,37;3,61;1,43;1,88;HT29;0.836730661120821
SUP-HD1;blood;Hodgkin_lymphoma;7.719180;NUDUL1;Non-Hodgkin Lymphoma;7,24;3,51;6,30;3,93;1,87;1,06;SQ1;0.6937224126470689
NCI-H1694;lung;lung_small_cell_carcinoma;7.809488;KYSE70;Esophageal Squamous Cell Carcinoma;4,90;3,29;6,43;4,52;1,84;2,20;A172;0.7035658698772609
HOS;bone;osteosarcoma;7.893542;DMS114;Lung Neuroendocrine Tumor;3,40;3,55;7,14;4,21;2,36;2,53;TDOTT;0.6988349227680629
EW-16;bone;ewings_sarcoma;8.105318;ECC4;Colorectal Adenocarcinoma;3,11;3,65;6,93;4,17;1,73;1,38;HCC78;0.8659927261995201
SNU-175;digestive_system;large_intestine;8.185599;KMS12BM;Non-Hodgkin Lymphoma;5,77;4,02;7,02;3,77;2,03;1,44;EBC1;0.7420260212364
COLO-320-HSR;digestive_system;large_intestine;8.251121;CTV1DM;Non-Hodgkin Lymphoma;6,76;3,23;4,87;3,56;1,26;2,63;RCM1;0.7585200142736709
NCI-H929;blood;myeloma;8.307508;SW954;Squamous Cell Carcinoma of the Vulva/Vagina;3,29;0,97;4,07;1,20;0,37;0,18;SW1710;0.7549185070172858
COLO-668;lung;lung_small_cell_carcinoma;8.354955;D458;Embryonal Tumor;4,22;2,86;7,11;3,98;1,94;3,06;ISTMES1;0.870037860052929
HCC-44;lung;lung_NSCLC_adenocarcinoma;8.412691;C2BBE1;Colorectal Adenocarcinoma;2,29;3,48;7,39;5,58;1,00;4,70;YKG1;0.7141929667881809
WM793B;skin;melanoma;8.556704;NCIH716;Colorectal Adenocarcinoma;3,43;3,76;6,67;4,21;2,01;1,34;T98G;0.7533828140061278
TCCSUP;urogenital_system;bladder;8.573846;VAL;Non-Hodgkin Lymphoma;5,62;2,11;6,35;1,37;0,46;0,53;G361;0.70156136527623
AM-38;nervous_system;glioma;8.590342;HL60;Acute Myeloid Leukemia;2,55;2,36;8,02;2,42;0,26;0,12;MDAMB436;0.709893928053714
KMRC-20;kidney;kidney;8.739442;MM386;Melanoma;0,12;2,38;10,47;4,21;1,59;0,90;UACC257;0.793115426028234
ACHN;kidney;kidney;8.786185;JHUEM7;Endometrial Carcinoma;5,61;2,61;6,74;4,59;1,33;1,58;COLO741;0.683175765724424
MOLT-13;blood;lymphoblastic_T_cell_leukaemia;8.804924;170MGBA;Diffuse Glioma;6,03;3,75;8,20;5,54;3,13;0,95;NCIH1975;0.7390690774335699
NCI-H1623;lung;lung_NSCLC_adenocarcinoma;8.809239;EB1;Non-Hodgkin Lymphoma;7,05;4,85;6,77;5,03;2,59;0,42;NCIH1437;0.7616334349636851
TE-15;aero_digestive_tract;oesophagus;8.831949;JIMT1;Invasive Breast Carcinoma;6,60;3,11;8,22;5,60;1,25;2,62;TM31;0.7036999782708231
C32;skin;melanoma;8.894863;HCS2;Cervical Squamous Cell Carcinoma;5,60;3,28;7,16;4,73;1,96;0,99;BC3C;0.707141529064365
KARPAS-1106P;blood;B_cell_lymphoma;8.926354;YUHOIN0650;Melanoma;5,33;2,64;8,00;4,63;1,59;0,78;LN229;0.7776223964460159
MHH-ES-1;bone;ewings_sarcoma;9.035165;L1236;Hodgkin Lymphoma;5,68;3,30;7,47;4,52;2,23;2,24;PATU8902;0.7361553570389129
Mo-T;blood;hairy_cell_leukaemia;9.128592;BT16;Embryonal Tumor;5,41;2,37;7,71;4,87;1,94;2,47;MIAPACA2;0.723315230416171
EPLC-272H;lung;lung_NSCLC_squamous_cell_carcinoma;9.159380;SLR26;Renal Cell Carcinoma;5,32;2,76;7,34;3,20;1,93;2,11;BEN;0.614894468263224
SW982;soft_tissue;soft_tissue_other;9.277259;CAPAN1;Pancreatic Adenocarcinoma;5,86;3,18;6,47;3,65;0,92;2,47;TE6;0.6439626473678729
HCC1806;breast;breast;9.288284;HCC827;Non-Small Cell Lung Cancer;5,72;2,94;7,33;4,14;1,26;1,70;SF126;0.655884766482413
ME-180;urogenital_system;cervix;9.474544;RH18;Rhabdomyosarcoma;5,59;3,40;7,88;4,93;2,97;3,08;HOS;0.666344995016271
CHP-212;nervous_system;neuroblastoma;9.810612;TUHR10TKB;Renal Cell Carcinoma;5,12;3,46;7,04;5,30;1,78;0,79;RVH421;0.759381271866371
C-33-A;urogenital_system;cervix;9.843407;UMUC11;Bladder Urothelial Carcinoma;4,60;3,25;9,06;4,46;1,57;1,13;SNU1041;0.683940798054803
COR-L23;lung;lung_NSCLC_large_cell;9.938460;SNU878;Hepatocellular Carcinoma;4,64;3,80;7,36;4,68;3,78;1,33;PECAPJ15;0.719842507710633
LOXIMVI;skin;melanoma;10.050796;CL14;Colorectal Adenocarcinoma;5,62;3,59;6,28;5,24;1,50;3,05;JHH1;0.944557409314382
SF268;nervous_system;glioma;10.069279;U178;Diffuse Glioma;5,41;3,03;7,74;4,39;2,88;1,70;KNS42;0.706168076713327
NCI-H1792;lung;lung_NSCLC_adenocarcinoma;10.088355;NCIH508;Colorectal Adenocarcinoma;5,32;2,91;5,83;4,67;1,14;3,67;HCC1806;0.6840459186556949
CAL-27;aero_digestive_tract;head_and_neck;10.304397;CL11;Colorectal Adenocarcinoma;4,19;3,89;8,16;4,14;1,17;1,78;HEP3B217;0.695474203719758
MDST8;digestive_system;large_intestine;10.460216;OACM51;Esophagogastric Adenocarcinoma;5,05;2,86;8,62;4,91;1,64;2,27;LCLC103H;0.7964936202635351
COR-L95;lung;lung_small_cell_carcinoma;10.470963;KALS1;Diffuse Glioma;6,23;3,31;7,71;4,92;2,80;1,45;NCIH596;0.701827976698076
M059J;nervous_system;glioma;10.574967;NCIH650;Non-Small Cell Lung Cancer;4,08;3,76;8,14;3,88;2,46;2,33;YD8;0.8572517866442059
NCI-H650;lung;lung_NSCLC_adenocarcinoma;10.629723;CORL23;Non-Small Cell Lung Cancer;7,52;3,74;8,03;3,64;1,64;2,12;HS944T;0.665155320552153
TOV-21G;urogenital_system;ovary;10.637418;HT144SKINFV1;Melanoma;5,52;2,83;8,28;4,03;2,16;1,68;KYSE520;0.742224869291925
OVCAR-8;urogenital_system;ovary;10.690211;PACADD159;Pancreatic Adenocarcinoma;5,25;1,76;8,12;2,23;0,39;0,86;HDQP1;0.702627208011303
RERF-LC-Sq1;lung;lung_NSCLC_squamous_cell_carcinoma;10.763892;CHLA10;Ewing Sarcoma;6,77;4,40;6,37;4,45;3,76;2,56;TE1;0.7474706793649479
GCIY;digestive_system;stomach;10.770336;AU565;Invasive Breast Carcinoma;4,98;3,57;8,40;5,87;2,17;1,68;786O;0.7846220661051071
NCI-H3118;aero_digestive_tract;head_and_neck;10.789927;RKO;Colorectal Adenocarcinoma;3,34;3,33;6,48;4,69;0,83;1,35;IGR37;0.6036819523422751
LNZTA3WT4;nervous_system;glioma;10.826682;OCIM1;Acute Myeloid Leukemia;5,67;2,94;6,41;4,99;2,53;4,32;SW620;0.796239604694836
HCC1599;breast;breast;10.870218;UPCISCC111;Head and Neck Squamous Cell Carcinoma;4,54;1,63;7,36;2,20;0,98;0,70;SUIT2;0.7449920983015821
SW48;digestive_system;large_intestine;10.981638;BECKER;Diffuse Glioma;6,55;3,76;8,45;5,93;2,81;0,32;A2780;0.675670820453152
PWR-1E;urogenital_system;prostate;11.054571;NCIH1755;Non-Small Cell Lung Cancer;4,57;3,44;6,90;4,17;2,05;0,58;WM1799;0.686861425990182
EW-24;bone;ewings_sarcoma;11.085420;RERFLCAI;Non-Small Cell Lung Cancer;3,71;3,36;7,20;4,28;1,24;2,36;CORL23;0.8017900871455541
KYSE-270;aero_digestive_tract;oesophagus;11.128140;PANC1;Pancreatic Adenocarcinoma;5,07;3,35;7,62;3,83;2,74;2,72;OVTOKO;0.716516059145927
OAW-28;urogenital_system;ovary;11.255738;LPS27;Liposarcoma;5,89;2,69;8,71;4,61;2,97;1,55;SKMES1;0.7695877214758571
TGW;nervous_system;neuroblastoma;11.271723;UOK101;Renal Cell Carcinoma;5,91;2,98;7,66;4,89;2,23;2,06;NCIH1355;0.691977542092214
SNU-407;digestive_system;large_intestine;11.294895;OCILY3;Non-Hodgkin Lymphoma;6,42;3,89;6,30;3,63;1,49;2,34;HCC44;0.74347138394691
SU-DHL-6;blood;B_cell_lymphoma;11.719529;KIJK;Non-Hodgkin Lymphoma;4,62;3,54;7,11;3,61;1,87;1,23;SW900;0.7400495640721451
SCC-15;aero_digestive_tract;head_and_neck;11.724179;SNUC1;Colorectal Adenocarcinoma;2,61;2,86;7,24;4,76;2,38;4,18;SBC5;0.6650115846880029
P31-FUJ;blood;acute_myeloid_leukaemia;11.812291;CAL851;Invasive Breast Carcinoma;5,61;1,99;6,34;4,10;2,00;0,32;HUH6;0.7504183618958029
A375;skin;melanoma;12.238122;MONOMAC1;Acute Myeloid Leukemia;5,24;3,16;6,60;4,52;1,15;0,19;IALM;0.8682751356023779
Ca9-22;aero_digestive_tract;head_and_neck;12.346656;OCUG1;Intracholecystic Papillary Neoplasm;5,41;2,79;8,37;3,70;2,42;0,30;NUGC4;0.78600792945011
MG-63;bone;osteosarcoma;12.433584;HS343T;Non-Cancerous;4,50;2,86;7,77;5,04;2,34;1,47;SW1573;0.725520064063662
Ramos-2G6-4C10;blood;Burkitt_lymphoma;12.502463;CCFSTTG1;Diffuse Glioma;4,56;3,61;7,12;4,81;3,58;0,37;MKN7;0.8157359815933279
OACp4C;aero_digestive_tract;oesophagus;12.539989;MM415;Melanoma;3,56;3,05;9,55;3,79;1,52;1,61;OE19;0.7026953283772139
NCI-H2141;lung;lung_small_cell_carcinoma;12.586785;HS939T;Melanoma;4,60;3,44;10,10;4,96;3,31;2,34;SW948;0.891732826963559
HCC70;breast;breast;12.587479;UPCISCC200;Head and Neck Squamous Cell Carcinoma;2,72;2,32;7,94;3,54;1,93;0,20;A549;0.7407313436826191
CS1;bone;bone_other;12.845206;TALL1;Non-Hodgkin Lymphoma;6,89;3,63;6,26;3,09;3,41;1,42;SNU1066;0.701462599731069
WM-115;skin;melanoma;12.848277;VMCUB1;Bladder Urothelial Carcinoma;5,25;3,02;5,47;5,46;1,87;0,62;KMRC1;0.821850606036212
HT-3;urogenital_system;cervix;12.921741;TGBC11TKB;Esophagogastric Adenocarcinoma;6,07;3,02;5,69;5,29;1,79;3,30;L33;0.6941617449537529
YH-13;nervous_system;glioma;12.981640;OCILY19;Non-Hodgkin Lymphoma;7,65;3,87;5,29;3,67;2,10;0,91;KYSE180;0.736541316628302
RPMI-8226;blood;myeloma;12.996361;ECC10;Esophagogastric Adenocarcinoma;4,27;4,18;5,40;4,05;1,94;3,06;TE9;0.686967069247796
HuP-T4;pancreas;pancreas;13.008328;FTC238;Well-Differentiated Thyroid Cancer;5,71;3,56;8,21;5,27;2,86;1,16;OVCAR8;0.7182769154286501
ONS-76;nervous_system;medulloblastoma;13.025952;OSC20;Head and Neck Squamous Cell Carcinoma;5,32;1,85;8,00;4,32;1,86;2,47;RMUGS;0.694176995861686
CW-2;digestive_system;large_intestine;13.045761;PECAPJ15;Head and Neck Squamous Cell Carcinoma;5,64;2,68;6,84;4,26;1,98;0,64;OAW42;0.7060448587112859
BFTC-909;kidney;kidney;13.048471;MM485;Melanoma;2,84;3,17;11,13;7,09;2,55;2,89;JIMT1;0.7376454047296321
BE-13;blood;lymphoblastic_leukemia;13.198414;COV413A;Ovarian Epithelial Tumor;2,84;2,34;7,16;3,86;0,88;2,52;CAOV3;0.836598548642137
EB-3;blood;Burkitt_lymphoma;13.293879;HSC4;Head and Neck Squamous Cell Carcinoma;5,92;3,15;6,46;3,97;1,76;1,20;SNU1214;0.6966135262633071
OVTOKO;urogenital_system;ovary;13.307454;WSUNHL;Non-Hodgkin Lymphoma;4,92;2,68;6,99;2,88;1,55;0,51;TT2609C02;0.788717098049355
AGS;digestive_system;stomach;13.361785;OMM25;Ocular Melanoma;4,73;2,74;7,93;4,39;3,59;1,99;COLO680N;0.688571579433271
KG-1;blood;acute_myeloid_leukaemia;13.451473;NCIH2052;Pleural Mesothelioma;5,10;2,59;7,94;4,45;1,44;1,65;RMGI;0.7315119087499019
769-P;kidney;kidney;13.479103;HS821T;Non-Cancerous;5,52;3,17;7,66;5,51;2,36;2,24;TCCSUP;0.7088858920745391
KYSE-180;aero_digestive_tract;oesophagus;13.511289;OAW28;Ovarian Epithelial Tumor;2,02;4,15;6,50;5,31;1,28;3,19;HMC18;0.695760793364413
KGN;urogenital_system;ovary;13.714214;KMH2;Hodgkin Lymphoma;5,88;3,79;7,75;3,60;2,28;2,40;YD10B;0.831353095699683
HLE;digestive_system;liver;13.764658;127399;Synovial Sarcoma;6,02;2,70;8,02;4,94;1,63;1,72;HT1376;0.688349516824139
NCI-H2228;lung;lung_NSCLC_adenocarcinoma;14.133593;JHOC5;Ovarian Epithelial Tumor;5,02;3,17;7,12;3,84;1,69;1,79;SKMEL5;0.7076686680288871
FADU;aero_digestive_tract;head_and_neck;14.259584;MERO84;Pleural Mesothelioma;6,48;2,65;7,74;4,30;1,49;3,39;PECAPJ41CLONED2;0.7351468707352281
SHP-77;lung;lung_small_cell_carcinoma;14.278323;SW480;Colorectal Adenocarcinoma;5,32;2,03;8,47;3,85;0,54;1,77;NCIH1838;0.7704606582524559
TK;blood;B_cell_lymphoma;14.327355;SNU719;Esophagogastric Adenocarcinoma;6,01;3,39;6,25;5,14;2,53;4,37;JHH5;0.6986953776014849
HCT-116;digestive_system;large_intestine;14.444050;SNU410;Pancreatic Adenocarcinoma;4,86;3,44;8,37;4,20;1,88;1,12;PECAPJ49;0.7101997925719591
OV-56;urogenital_system;ovary;14.513248;UMUC7;Bladder Urothelial Carcinoma;3,35;3,63;7,35;4,94;3,37;3,20;GB1;0.694832808565902
EC-GI-10;aero_digestive_tract;oesophagus;14.643042;A549;Non-Small Cell Lung Cancer;5,14;2,48;7,13;4,61;2,83;1,79;UBLC1;0.6930805625228951
CAL-33;aero_digestive_tract;head_and_neck;14.682509;HA1E;Non-Cancerous;6,96;3,21;7,57;5,16;2,40;0,93;NCIH1623;0.7097207123195408
IST-MEL1;skin;melanoma;14.771655;697;B-Lymphoblastic Leukemia/Lymphoma;6,44;3,26;6,61;3,60;1,64;0,50;NCIH1703;0.6976545281508979
CAL-39;urogenital_system;cervix;14.982292;VMRCRCW;Renal Cell Carcinoma;5,51;2,52;7,03;5,32;1,66;1,84;SJSA1;0.721314872038022
J82;urogenital_system;bladder;14.998912;KP3;Adenosquamous Carcinoma of the Pancreas;3,66;2,66;6,61;4,72;2,18;2,08;DMS273;0.6986384199544979
TUR;blood;B_cell_lymphoma;15.049212;HUH28;Intraductal Papillary Neoplasm of the Bile Duct;5,84;2,27;8,62;3,98;2,72;1,48;LOXIMVI;0.767177665735732
BICR22;aero_digestive_tract;head_and_neck;15.249575;SUDHL8;Non-Hodgkin Lymphoma;7,46;3,40;6,34;3,52;1,68;1,59;JMSU1;0.679426709864237
NB(TU)1-10;nervous_system;neuroblastoma;15.253832;KASUMI6;Acute Myeloid Leukemia;5,43;3,30;6,35;2,99;1,91;3,69;GI1;0.681881929220276
NCI-H2087;lung;lung_NSCLC_adenocarcinoma;15.265416;HCT15;Colorectal Adenocarcinoma;5,65;3,17;6,46;4,89;2,26;1,63;MKN74;0.607749436471563
U251;nervous_system;glioma;15.735903;NCIH1048;Lung Neuroendocrine Tumor;5,69;3,36;6,91;4,74;3,33;1,92;MDAMB175VII;0.6664042182375789
NCI-H446;lung;lung_small_cell_carcinoma;16.154028;LN18;Diffuse Glioma;5,73;3,60;7,03;4,65;3,47;1,60;YD38;0.7756646644294
LB831-BLC;urogenital_system;bladder;16.195331;SUPM2;Non-Hodgkin Lymphoma;5,97;3,35;7,82;3,29;2,70;2,07;SH10TC;0.629983319691644
A2058;skin;melanoma;16.397210;SKES1;Ewing Sarcoma;6,91;4,16;6,90;4,30;2,80;2,77;WM983B;0.694370210513757
NCI-H69;lung;lung_small_cell_carcinoma;16.547807;HS870T;Non-Cancerous;4,29;2,94;8,09;4,83;1,85;1,27;NCIH1648;0.863313089155635
KU-19-19;urogenital_system;bladder;16.677144;SKMEL19;Melanoma;3,81;2,83;10,25;6,59;2,74;2,82;MDAMB231;0.727024114696734
SK-LMS-1;soft_tissue;soft_tissue_other;16.731617;MKN74;Esophagogastric Adenocarcinoma;7,26;5,24;6,59;4,97;2,58;0,91;LK2;0.7141147922817621
U-118-MG;nervous_system;glioma;16.755944;HCC1599;Invasive Breast Carcinoma;3,62;3,14;7,26;4,17;1,16;1,60;BICR56;0.7055878372166858
RKO;digestive_system;large_intestine;16.771188;DU4475;Invasive Breast Carcinoma;5,11;3,62;5,96;3,77;1,74;0,25;RERFLCAD2;0.808201420495425
PCI-30;aero_digestive_tract;head_and_neck;16.772666;SW579;Head and Neck Squamous Cell Carcinoma;6,09;3,03;7,49;4,66;3,26;0,80;NCIH727;0.732315887227647
DSH1;urogenital_system;bladder;16.828994;NCO2;Myeloproliferative Neoplasms;6,35;3,26;5,74;3,89;2,91;6,49;ONS76;0.7297747864125199
MN-60;blood;B_cell_leukemia;16.845225;HUT78;Non-Hodgkin Lymphoma;3,23;3,83;7,05;4,00;1,80;1,25;KYSE30;0.747588858628774
RC-K8;blood;B_cell_lymphoma;16.846599;SKPNDW;Embryonal Tumor;5,95;4,84;6,52;4,19;2,73;2,15;HSC3;0.769510610436031
D-263MG;nervous_system;glioma;16.881801;T98G;Diffuse Glioma;6,61;2,85;8,05;4,82;3,33;1,36;NCIH2023;0.7296552842666679
SBC-5;lung;lung_small_cell_carcinoma;16.925795;MHHES1;Ewing Sarcoma;6,15;3,43;6,54;4,96;2,73;2,13;CAMA1;0.891025654607798
SCC-4;aero_digestive_tract;head_and_neck;16.978485;KLE;Endometrial Carcinoma;5,87;2,66;7,95;3,59;1,66;1,54;KYSE70;0.704219949094246
MS-1;lung;lung_small_cell_carcinoma;16.997323;SNU61;Colorectal Adenocarcinoma;5,89;2,26;7,04;4,68;1,74;1,67;NCIH2126;0.7352174248511179
K5;thyroid;thyroid;16.999286;JHOS4;Ovarian Epithelial Tumor;5,42;3,69;7,05;4,40;2,44;3,62;A2058;0.7162832306738159
NCI-H2122;lung;lung_NSCLC_adenocarcinoma;17.239350;UPCISCC026;Head and Neck Squamous Cell Carcinoma;5,69;1,34;6,49;3,23;0,62;0,11;RERFLCAD1;0.764958084573856
DOV13;urogenital_system;ovary;17.285538;NCIH1876;Lung Neuroendocrine Tumor;6,71;4,08;6,22;4,72;3,02;3,18;BFTC909;0.7444312897734809
